ID;Fecha;Tipo_Incidente;Ubicacion;Concesion;Severidad;Estado;Responsable;Tiempo_Resolucion_Horas
1;12/05/2026;Falla eléctrica;Peaje Copacabana;Autopistas del Nordeste;Media;Abierto;Juan Pérez;
2;13/06/2026;Mantenimiento;Rionegro;Túnel de Oriente;Media;Cerrado;María Restrepo;8
3;1/06/2026;Falla eléctrica;Peaje Las Palmas;Vía al Oriente;Alta;Abierto;Juan Pérez;
4;31/05/2026;Bloqueo;Rionegro;Aeropuerto José María Córdova;Baja;Cerrado;Juan Pérez;12
5;4/05/2026;Inundación;Marinilla;Aeropuerto José María Córdova;Media;Cerrado;Juan Pérez;19
6;21/05/2026;Accidente;Peaje Las Palmas;Conexión Pacífico;Alta;Cerrado;Laura Vélez;16
7;6/05/2026;Falla eléctrica;Túnel de Oriente;Conexión Pacífico;Alta;Cerrado;Ana Ruiz;3
8;5/06/2026;Inundación;La Ceja;Aeropuerto José María Córdova;Media;Cerrado;Carlos Gómez;2
9;22/05/2026;Falla mecánica;Peaje Las Palmas;Conexión Pacífico;Alta;Cerrado;Carlos Gómez;20
10;13/05/2026;Accidente;Peaje Copacabana;Conexión Pacífico;Media;Abierto;Andrés Cano;
11;25/05/2026;Vandalismo;Guarne;Aeropuerto José María Córdova;Baja;Cerrado;Laura Vélez;6
12;1/05/2026;Falla mecánica;La Ceja;Aeropuerto José María Córdova;Media;Cerrado;Andrés Cano;2
13;31/05/2026;Vandalismo;Peaje Las Palmas;Vía al Oriente;Media;Abierto;María Restrepo;
14;15/06/2026;Inundación;Peaje Copacabana;Vía al Oriente;Media;Abierto;Juan Pérez;
15;4/05/2026;Accidente;Marinilla;Conexión Pacífico;Media;Cerrado;Andrés Cano;5
16;31/05/2026;Inundación;Marinilla;Conexión Pacífico;Baja;Cerrado;María Restrepo;3
17;23/05/2026;Accidente;Guarne;Autopistas del Nordeste;Alta;Abierto;María Restrepo;
18;22/05/2026;Falla eléctrica;Rionegro;Aeropuerto José María Córdova;Alta;Cerrado;Ana Ruiz;1
19;17/05/2026;Falla eléctrica;Marinilla;Conexión Pacífico;Media;Abierto;Laura Vélez;
20;16/05/2026;Mantenimiento;Marinilla;Vía al Oriente;Media;Abierto;María Restrepo;
21;19/05/2026;Mantenimiento;Aeropuerto José María Córdova;Aeropuerto José María Córdova;Baja;Abierto;Andrés Cano;
22;2/05/2026;Vandalismo;Rionegro;Aeropuerto José María Córdova;Media;Cerrado;Carlos Gómez;4
23;9/06/2026;Inundación;La Ceja;Conexión Pacífico;Media;Abierto;Carlos Gómez;
